News,Rating
"Joe Biden stated on March 2, 2021 in a news conference: “When I came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in America.”",mostly-false
"Facebook posts stated on March 3, 2021 in a Facebook post: “Massive 78% of mail-in ballots proved fraudulent, judge orders election do-over.”",mostly-true
"Karen Brinson Bell stated on February 25, 2021 in an appearance before a committee: Says the NC elections board “did not change state law.""",mostly-false
"Mike Pence stated on March 3, 2021 in Daily Signal op ed: The voting bill known as H.R. 1 would mean “that millions of illegal immigrants are quickly registered to vote.""",false
"Charlie Kirk stated on March 4, 2021 in a radio show segment: H.R. 1 “would allow the Boston bomber to have a right to vote.”",false
"Viral image stated on March 4, 2021 in a Facebook post: Video shows someone wearing an Anthony Fauci mask.",pants-fire
"Melissa Agard stated on February 10, 2021 in Twitter: ""Youth usage of marijuana has actually gone down in states that have fully legalized.”",half-true
"Energy Transfer stated on February 26, 2021 in testimony: “Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”",true
"Chris Kapenga stated on February 10, 2021 in Twitter: “The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",true
"Facebook posts stated on March 3, 2021 in a Facebook post: Says “Biden took down Dr. Seuss and Mr. Potato Head.”",false
"Viral image stated on February 25, 2021 in a Facebook post: Photos show U.S. senators sleeping in the chamber.",false
"Viral image stated on March 1, 2021 in post on Facebook: Says 5-year-olds can “take hormones and change my sex.”",false
"Viral image stated on February 23, 2021 in a Facebook post: “NASA discovers THC on meteorite fragment.”",pants-fire
"Mike Pence stated on March 3, 2021 in an op-ed in the Daily Signal: The voting bill known as H.R. 1 ""would force states to adopt universal mail-in ballots.”",false
"Sherri Tenpenny stated on February 9, 2021 in a Bitchute video: ""Some people are going to die from the vaccine directly. But a large number of people are going to start getting horribly sick and get all kinds of autoimmune diseases.""",pants-fire
"Elise Stefanik stated on March 3, 2021 in a tweet: H.R. 1 would “prevent removal of ineligible voters from registration rolls.”",false
"Doug LaMalfa stated on March 2, 2021 in a constituent email.: Voting-rights legislation proposed by Democrats in Congress called H.R. 1 “would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.”",half-true
"National Association for Gun Rights stated on March 1, 2021 in a Facebook post: ""Marco Rubio's 'red flag' gun confiscation bill"" calls for guns to be confiscated ""without due process, based on unsubstantiated accusations.""",mostly-false
"Rachel Maddow stated on March 1, 2021 in a TV segment: ""While he was president, President Trump never encouraged Americans to get vaccinated.""",false
"Gordon Hintz stated on February 23, 2021 in a speech: Republicans are “trying to create a fake unemployment insurance crisis.”",false
"Facebook posts stated on February 23, 2021 in Facebook posts: Says Donald Trump will be re-inaugurated as president on March 4, 2021.",pants-fire
"Joe Biden stated on March 1, 2021 in remarks with Mexico's president: ""The fastest-growing population in the United States is Hispanic.""",mostly-false
